time_tag,Kp,a_running,station_count
2023-10-18 00:00:00.000,0.33,2,7
2023-10-18 03:00:00.000,2.00,7,7
2023-10-18 06:00:00.000,1.33,5,7
2023-10-18 09:00:00.000,2.33,9,7
2023-10-18 12:00:00.000,3.00,15,8
2023-10-18 15:00:00.000,3.00,15,8
2023-10-18 18:00:00.000,2.33,9,8
2023-10-18 21:00:00.000,2.33,9,8
2023-10-19 00:00:00.000,2.67,12,8
2023-10-19 03:00:00.000,3.67,22,8
2023-10-19 06:00:00.000,2.33,9,8
2023-10-19 09:00:00.000,2.67,12,8
2023-10-19 12:00:00.000,1.67,6,8
2023-10-19 15:00:00.000,1.67,6,8
2023-10-19 18:00:00.000,1.67,6,8
2023-10-19 21:00:00.000,1.00,4,8
2023-10-20 00:00:00.000,1.33,5,8
2023-10-20 03:00:00.000,2.33,9,8
2023-10-20 06:00:00.000,2.33,9,7
2023-10-20 09:00:00.000,2.33,9,7
2023-10-20 12:00:00.000,2.00,7,7
2023-10-20 15:00:00.000,1.00,4,7
2023-10-20 18:00:00.000,2.33,9,7
2023-10-20 21:00:00.000,2.67,12,7
2023-10-21 00:00:00.000,4.00,27,7
2023-10-21 03:00:00.000,4.67,39,7
2023-10-21 06:00:00.000,5.00,48,7
2023-10-21 09:00:00.000,3.33,18,7
2023-10-21 12:00:00.000,2.67,12,8
2023-10-21 15:00:00.000,3.33,18,8
2023-10-21 18:00:00.000,1.67,6,8
2023-10-21 21:00:00.000,1.00,4,8
2023-10-22 00:00:00.000,2.33,9,8
2023-10-22 03:00:00.000,1.67,6,8
2023-10-22 06:00:00.000,2.33,9,8
2023-10-22 09:00:00.000,2.33,9,8
2023-10-22 12:00:00.000,1.33,5,8
2023-10-22 15:00:00.000,1.67,6,8
2023-10-22 18:00:00.000,3.00,15,8
2023-10-22 21:00:00.000,1.67,6,8
2023-10-23 00:00:00.000,1.00,4,8
2023-10-23 03:00:00.000,0.33,2,8
2023-10-23 06:00:00.000,0.33,2,8
2023-10-23 09:00:00.000,0.33,2,8
2023-10-23 12:00:00.000,1.00,4,8
2023-10-23 15:00:00.000,0.67,3,8
2023-10-23 18:00:00.000,0.67,3,8
2023-10-23 21:00:00.000,0.67,3,8
2023-10-24 00:00:00.000,0.33,2,8
2023-10-24 03:00:00.000,0.33,2,8
2023-10-24 06:00:00.000,0.67,3,8
2023-10-24 09:00:00.000,1.33,5,8
2023-10-24 12:00:00.000,0.67,3,8
2023-10-24 15:00:00.000,1.00,4,8
2023-10-24 18:00:00.000,1.33,5,8
2023-10-24 21:00:00.000,1.33,5,8
2023-10-25 00:00:00.000,0.67,3,8
2023-10-25 03:00:00.000,1.00,4,8
